char_count,word_count,avg_word_len,uppercase_ratio,exclamation_count,question_count,caps_word_count
116,23,5.043478260869565,0.008620689655172414,0,0,0
275,49,5.612244897959184,0.02181818181818182,0,1,0
79,12,6.583333333333333,0.26582278481012656,5,0,3
118,22,5.363636363636363,0.06779661016949153,0,0,1
655,118,5.5508474576271185,0.04122137404580153,0,1,2
222,37,6.0,0.036036036036036036,0,0,0
675,111,6.081081081081081,0.023703703703703703,0,0,1
146,30,4.866666666666666,0.03424657534246575,2,0,0
101,19,5.315789473684211,0.04950495049504951,1,2,0
63,17,3.7058823529411766,0.06349206349206349,0,1,0
234,34,6.882352941176471,0.017094017094017096,0,0,0
227,44,5.159090909090909,0.02643171806167401,0,0,0
424,74,5.72972972972973,0.025943396226415096,0,0,1
119,23,5.173913043478261,0.025210084033613446,0,0,0
140,23,6.086956521739131,0.02142857142857143,1,0,0
652,120,5.433333333333334,0.05061349693251534,7,0,4
127,20,6.35,0.031496062992125984,0,0,0
168,26,6.461538461538462,0.005952380952380952,0,0,0
65,12,5.416666666666667,0.0,0,0,0
107,17,6.294117647058823,0.037383177570093455,0,1,0
36,6,6.0,0.05555555555555555,0,1,0
357,69,5.173913043478261,0.028011204481792718,1,1,0
1117,193,5.787564766839378,0.02864816472694718,0,1,2
336,60,5.6,0.02976190476190476,0,0,0
38,4,9.5,0.21052631578947367,0,0,0
39,6,6.5,0.07692307692307693,0,0,0
90,18,5.0,0.022222222222222223,0,0,1
1376,221,6.226244343891403,0.02180232558139535,0,0,0
77,11,7.0,0.12987012987012986,0,0,1
452,88,5.136363636363637,0.028761061946902654,0,0,0
993,189,5.253968253968254,0.011077542799597181,1,4,0
503,83,6.0602409638554215,0.041749502982107355,0,0,0
413,46,8.978260869565217,0.04116222760290557,0,2,1
131,19,6.894736842105263,0.030534351145038167,0,4,0
46,10,4.6,0.021739130434782608,0,0,0
127,24,5.291666666666667,0.023622047244094488,0,1,0
327,60,5.45,0.024464831804281346,0,0,2
82,14,5.857142857142857,0.036585365853658534,0,0,0
39,7,5.571428571428571,0.05128205128205128,0,0,0
803,150,5.3533333333333335,0.024906600249066,0,0,3
9,3,3.0,0.1111111111111111,1,0,0
362,61,5.934426229508197,0.027624309392265192,1,1,0
1030,200,5.15,0.020388349514563107,0,1,2
344,52,6.615384615384615,0.01744186046511628,0,0,0
105,22,4.7727272727272725,0.02857142857142857,0,0,1
222,39,5.6923076923076925,0.02252252252252252,0,0,0
610,97,6.288659793814433,0.011475409836065573,0,0,0
86,16,5.375,0.03488372093023256,0,0,0
63,9,7.0,0.09523809523809523,0,0,0
28,5,5.6,0.0,0,0,0
328,57,5.754385964912281,0.027439024390243903,0,1,0
34,6,5.666666666666667,0.029411764705882353,1,0,0
374,56,6.678571428571429,0.053475935828877004,0,0,1
138,25,5.52,0.028985507246376812,0,0,0
116,18,6.444444444444445,0.034482758620689655,0,1,0
106,19,5.578947368421052,0.009433962264150943,0,0,0
314,54,5.814814814814815,0.01910828025477707,0,0,0
91,14,6.5,0.054945054945054944,0,1,1
537,96,5.59375,0.7057728119180633,51,10,90
301,50,6.02,0.026578073089700997,0,1,0
144,1,144.0,0.0,0,0,0
27,6,4.5,0.0,0,0,0
275,52,5.288461538461538,0.04,0,0,1
176,30,5.866666666666666,0.045454545454545456,0,0,0
110,12,9.166666666666666,0.08181818181818182,0,0,0
106,17,6.235294117647059,0.1320754716981132,0,0,1
42,7,6.0,0.023809523809523808,0,0,0
136,23,5.913043478260869,0.058823529411764705,0,0,0
161,31,5.193548387096774,0.024844720496894408,0,4,0
239,43,5.558139534883721,0.02092050209205021,0,1,0
130,24,5.416666666666667,0.038461538461538464,0,0,0
103,20,5.15,0.06796116504854369,0,0,1
848,162,5.234567901234568,0.02240566037735849,0,2,0
120,23,5.217391304347826,0.075,0,0,1
174,32,5.4375,0.05747126436781609,0,0,1
8,1,8.0,0.125,0,0,0
49,11,4.454545454545454,0.02040816326530612,0,0,0
500,83,6.024096385542169,0.004,0,0,0
37,8,4.625,0.05405405405405406,0,0,0
495,86,5.755813953488372,0.1696969696969697,0,1,14
195,28,6.964285714285714,0.06153846153846154,0,1,1
39,8,4.875,0.05128205128205128,0,0,0
268,43,6.232558139534884,0.018656716417910446,0,0,0
125,25,5.0,0.024,0,0,0
130,23,5.6521739130434785,0.015384615384615385,0,0,0
332,54,6.148148148148148,0.006024096385542169,0,0,0
62,11,5.636363636363637,0.08064516129032258,0,0,1
42,8,5.25,0.09523809523809523,0,0,0
65,12,5.416666666666667,0.015384615384615385,0,0,0
554,86,6.441860465116279,0.01263537906137184,0,0,0
223,39,5.717948717948718,0.0,0,0,0
109,20,5.45,0.0,0,0,0
307,53,5.7924528301886795,0.04234527687296417,0,0,1
37,4,9.25,0.1891891891891892,0,0,1
513,100,5.13,0.03898635477582846,0,0,2
1108,194,5.711340206185567,0.3095667870036101,7,22,70
197,37,5.324324324324325,0.01015228426395939,0,0,0
78,15,5.2,0.01282051282051282,0,0,0
71,13,5.461538461538462,0.014084507042253521,0,0,0
65,13,5.0,0.07692307692307693,0,0,0
239,40,5.975,0.029288702928870293,2,1,0
306,49,6.244897959183674,0.0457516339869281,0,0,1
741,141,5.25531914893617,0.020242914979757085,5,1,1
59,11,5.363636363636363,0.01694915254237288,0,0,0
218,38,5.7368421052631575,0.01834862385321101,0,0,0
66,10,6.6,0.030303030303030304,0,0,0
63,12,5.25,0.015873015873015872,0,0,0
149,29,5.137931034482759,0.013422818791946308,0,1,0
188,38,4.947368421052632,0.010638297872340425,0,0,0
36,8,4.5,0.027777777777777776,0,0,0
1097,200,5.485,0.020054694621695533,0,1,1
66,13,5.076923076923077,0.015151515151515152,1,0,0
4500,361,12.465373961218837,0.92,0,0,361
40,7,5.714285714285714,0.05,0,0,0
144,17,8.470588235294118,0.06944444444444445,0,0,1
100,17,5.882352941176471,0.04,1,0,1
577,99,5.828282828282828,0.01733102253032929,4,0,1
70,15,4.666666666666667,0.02857142857142857,0,0,0
496,93,5.333333333333333,0.024193548387096774,0,0,0
641,110,5.827272727272727,0.029641185647425898,0,0,1
338,60,5.633333333333334,0.026627218934911243,0,3,1
456,71,6.422535211267606,0.03508771929824561,8,3,0
100,15,6.666666666666667,0.03,0,0,0
121,21,5.761904761904762,0.01652892561983471,0,0,0
160,23,6.956521739130435,0.04375,1,0,0
50,10,5.0,0.1,0,0,0
56,10,5.6,0.05357142857142857,0,0,0
135,26,5.1923076923076925,0.037037037037037035,3,0,0
71,15,4.733333333333333,0.08450704225352113,0,0,1
44,9,4.888888888888889,0.045454545454545456,0,0,0
50,10,5.0,0.02,0,0,0
35,6,5.833333333333333,0.02857142857142857,0,0,0
307,55,5.581818181818182,0.02280130293159609,1,0,0
998,179,5.575418994413408,0.028056112224448898,1,0,3
748,133,5.62406015037594,0.009358288770053475,0,0,1
134,24,5.583333333333333,0.05223880597014925,0,0,1
35,6,5.833333333333333,0.02857142857142857,0,0,0
33,4,8.25,0.06060606060606061,0,0,0
124,15,8.266666666666667,0.06451612903225806,0,0,0
73,12,6.083333333333333,0.0821917808219178,1,0,1
272,48,5.666666666666667,0.01838235294117647,0,0,0
55,7,7.857142857142857,0.09090909090909091,0,0,1
102,17,6.0,0.0196078431372549,0,0,0
37,4,9.25,0.2702702702702703,1,0,1
53,8,6.625,0.0,0,1,0
63,10,6.3,0.015873015873015872,0,0,0
142,22,6.454545454545454,0.04225352112676056,0,1,0
37,7,5.285714285714286,0.0,0,0,0
981,177,5.5423728813559325,0.021406727828746176,0,0,0
138,19,7.2631578947368425,0.07246376811594203,0,0,0
65,11,5.909090909090909,0.16923076923076924,2,0,3
247,50,4.94,0.06882591093117409,0,0,2
40,7,5.714285714285714,0.025,0,0,0
24,5,4.8,0.041666666666666664,0,0,0
190,39,4.871794871794871,0.02631578947368421,0,1,0
103,16,6.4375,0.18446601941747573,1,0,3
247,51,4.8431372549019605,0.7044534412955465,0,0,42
34,6,5.666666666666667,0.7352941176470589,4,0,6
236,42,5.619047619047619,0.05084745762711865,0,0,1
49,10,4.9,0.0,0,0,0
58,11,5.2727272727272725,0.0,0,0,0
73,14,5.214285714285714,0.0410958904109589,0,0,0
101,19,5.315789473684211,0.0,3,0,0
65,13,5.0,0.0,0,0,0
76,15,5.066666666666666,0.02631578947368421,0,0,0
137,30,4.566666666666666,0.5620437956204379,3,0,21
798,131,6.091603053435114,0.03508771929824561,0,0,1
512,90,5.688888888888889,0.0234375,0,0,1
24,4,6.0,0.0,0,0,0
89,15,5.933333333333334,0.033707865168539325,0,0,0
205,32,6.40625,0.0,0,0,0
348,64,5.4375,0.03735632183908046,0,5,1
85,16,5.3125,0.047058823529411764,0,0,0
693,96,7.21875,0.03751803751803752,0,1,1
103,21,4.904761904761905,0.04854368932038835,0,0,0
33,5,6.6,0.09090909090909091,0,0,0
1000,161,6.211180124223603,0.036,1,0,3
52,9,5.777777777777778,0.057692307692307696,0,0,0
23,4,5.75,0.08695652173913043,0,0,0
68,8,8.5,0.1323529411764706,0,0,1
75,9,8.333333333333334,0.10666666666666667,0,0,1
55,9,6.111111111111111,0.05454545454545454,0,0,0
37,9,4.111111111111111,0.0,0,0,0
420,77,5.454545454545454,0.04285714285714286,0,0,1
526,93,5.655913978494624,0.024714828897338403,1,0,1
198,35,5.6571428571428575,0.015151515151515152,0,0,0
25,6,4.166666666666667,0.04,0,0,0
2109,363,5.809917355371901,0.034139402560455195,1,2,10
60,12,5.0,0.016666666666666666,0,0,0
74,15,4.933333333333334,0.013513513513513514,0,0,0
125,23,5.434782608695652,0.008,0,0,0
35,5,7.0,0.2857142857142857,0,0,1
232,35,6.628571428571429,0.02586206896551724,0,0,0
94,19,4.947368421052632,0.010638297872340425,0,0,0
146,24,6.083333333333333,0.0958904109589041,0,1,2
542,97,5.587628865979381,0.01107011070110701,0,3,1
143,25,5.72,0.055944055944055944,1,1,0
60,8,7.5,0.1,0,0,0
45,8,5.625,0.022222222222222223,0,0,0
35,6,5.833333333333333,0.08571428571428572,0,0,0
82,17,4.823529411764706,0.036585365853658534,2,0,0
501,101,4.96039603960396,0.023952095808383235,1,1,0
152,26,5.846153846153846,0.019736842105263157,0,1,0
128,20,6.4,0.109375,0,0,1
132,26,5.076923076923077,0.26515151515151514,6,0,8
428,74,5.783783783783784,0.030373831775700934,1,0,1
115,14,8.214285714285714,0.05217391304347826,0,0,0
379,70,5.414285714285715,0.0395778364116095,0,0,1
180,32,5.625,0.016666666666666666,1,0,0
62,11,5.636363636363637,0.06451612903225806,0,0,0
126,21,6.0,0.07142857142857142,1,0,2
63,12,5.25,0.047619047619047616,0,1,0
573,99,5.787878787878788,0.017452006980802792,0,3,0
58,5,11.6,0.034482758620689655,0,0,0
252,40,6.3,0.03968253968253968,0,2,0
44,10,4.4,0.0,0,0,0
202,38,5.315789473684211,0.01485148514851485,0,0,0
12,2,6.0,0.08333333333333333,0,0,0
246,42,5.857142857142857,0.04065040650406504,0,2,0
71,14,5.071428571428571,0.014084507042253521,0,0,0
